Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
6,552,74,0.862578,0.156157,-0.0610569
9,32679,845699152,4.59121e-41,0,0
9,506,102,4.59121e-41,0,0
9,506,102,0.790859,0.21316,-0.0397791
10,32679,845699152,4.59121e-41,0,0
10,512,52,4.59121e-41,0,0
10,512,52,0.800268,0.109496,-0.0604171
0,32527,3106349168,4.59135e-41,0,0
0,358,318,4.59135e-41,0,0
0,358,318,0.559995,0.663293,5.07347e-07
5,32527,3106349168,4.59135e-41,0,0
5,417,232,4.59135e-41,0,0
5,417,232,0.652426,0.483937,-0.0393894
6,32527,3106349168,4.59135e-41,0,0
6,436,196,4.59135e-41,0,0
6,436,196,0.68224,0.408611,-0.0641948
9,32527,3106349168,4.59135e-41,0,0
9,390,220,4.59135e-41,0,0
9,390,220,0.610707,0.460229,-0.0399762
10,32527,3106349168,4.59135e-41,0,0
10,395,176,4.59135e-41,0,0
10,395,176,0.617685,0.368232,-0.0625937
0,32527,3106349168,4.59135e-41,0,0
0,364,309,4.59135e-41,0,0
0,364,309,0.569701,0.64454,4.81366e-07
5,32527,3106349168,4.59135e-41,0,0
5,417,217,4.59135e-41,0,0
5,417,217,0.651608,0.452417,-0.0380303
6,32527,3106349168,4.59135e-41,0,0
6,430,175,4.59135e-41,0,0
6,430,175,0.673132,0.366279,-0.0613837
9,32527,3106349168,4.59135e-41,0,0
9,389,208,4.59135e-41,0,0
9,389,208,0.60819,0.435322,-0.0388983
10,32527,3106349168,4.59135e-41,0,0
10,388,163,4.59135e-41,0,0
10,388,163,0.607435,0.340236,-0.057203
0,32527,3106349168,4.59135e-41,0,0
0,372,299,4.59135e-41,0,0
0,372,299,0.582302,0.623621,3.87893e-07
5,32527,3106349168,4.59135e-41,0,0
5,415,202,4.59135e-41,0,0
5,415,202,0.649067,0.420874,-0.0301829
6,32527,3106349168,4.59135e-41,0,0
6,425,162,4.59135e-41,0,0
6,425,162,0.664459,0.337839,-0.0500243
9,32527,3106349168,4.59135e-41,0,0
9,387,196,4.59135e-41,0,0
9,387,196,0.605,0.409084,-0.0327105
10,32527,3106349168,4.59135e-41,0,0
10,382,151,4.59135e-41,0,0
10,382,151,0.597615,0.316464,-0.0490004
0,32527,3106349168,4.59135e-41,0,0
0,378,294,4.59135e-41,0,0
0,378,294,0.590997,0.613873,3.97629e-07
5,32527,3106349168,4.59135e-41,0,0
5,420,193,4.59135e-41,0,0
5,420,193,0.656881,0.40334,-0.0266089
6,32527,3106349168,4.59135e-41,0,0
6,428,153,4.59135e-41,0,0
6,428,153,0.668866,0.319974,-0.0455061
9,32527,3106349168,4.59135e-41,0,0
9,391,189,4.59135e-41,0,0
9,391,189,0.61172,0.393788,-0.0300301
10,32527,3106349168,4.59135e-41,0,0
10,385,143,4.59135e-41,0,0
10,385,143,0.601928,0.29922,-0.0453064
0,32527,3106349168,4.59135e-41,0,0
0,380,291,4.59135e-41,0,0
0,380,291,0.594361,0.606658,3.68344e-07
5,32527,3106349168,4.59135e-41,0,0
5,426,189,4.59135e-41,0,0
5,426,189,0.665671,0.394444,-0.0262921
6,32527,3106349168,4.59135e-41,0,0
6,433,149,4.59135e-41,0,0
6,433,149,0.677902,0.312055,-0.0448192
9,32527,3106349168,4.59135e-41,0,0
9,397,184,4.59135e-41,0,0
9,397,184,0.621204,0.383957,-0.0300598
10,32527,3106349168,4.59135e-41,0,0
10,391,138,4.59135e-41,0,0
10,391,138,0.611203,0.287937,-0.0456213
0,32527,3106349168,4.59135e-41,0,0
0,384,291,4.59135e-41,0,0
0,384,291,0.601397,0.606398,3.72515e-07
5,32527,3106349168,4.59135e-41,0,0
5,428,187,4.59135e-41,0,0
5,428,187,0.669887,0.390595,-0.025881
6,32527,3106349168,4.59135e-41,0,0
6,436,147,4.59135e-41,0,0
6,436,147,0.68144,0.306766,-0.0438125
9,32527,3106349168,4.59135e-41,0,0
9,400,181,4.59135e-41,0,0
9,400,181,0.625041,0.378917,-0.028944
10,32527,3106349168,4.59135e-41,0,0
10,394,135,4.59135e-41,0,0
10,394,135,0.616587,0.281348,-0.04358
0,32527,3106349168,4.59135e-41,0,0
0,384,291,4.59135e-41,0,0
0,384,291,0.600464,0.606812,3.8626e-07
5,32527,3106349168,4.59135e-41,0,0
5,429,187,4.59135e-41,0,0
5,429,187,0.670442,0.389656,-0.0234485
6,32527,3106349168,4.59135e-41,0,0
6,437,146,4.59135e-41,0,0
6,437,146,0.684,0.304783,-0.0405814
9,32527,3106349168,4.59135e-41,0,0
9,400,182,4.59135e-41,0,0
9,400,182,0.62505,0.379738,-0.0264335
10,32527,3106349168,4.59135e-41,0,0
10,395,135,4.59135e-41,0,0
10,395,135,0.617223,0.281805,-0.04028
0,32527,3106349168,4.59135e-41,0,0
0,384,293,4.59135e-41,0,0
0,384,293,0.600644,0.610884,3.82954e-07
5,32527,3106349168,4.59135e-41,0,0
5,428,189,4.59135e-41,0,0
5,428,189,0.669809,0.394021,-0.0255597
6,32527,3106349168,4.59135e-41,0,0
6,437,148,4.59135e-41,0,0
6,437,148,0.683523,0.309923,-0.0440799
9,32527,3106349168,4.59135e-41,0,0
9,399,184,4.59135e-41,0,0
9,399,184,0.624517,0.383632,-0.028129
10,32527,3106349168,4.59135e-41,0,0
10,395,137,4.59135e-41,0,0
10,395,137,0.61777,0.28723,-0.0433768
